"","DBN","School Name","Year","NumTested","MeanScaleScore","Level1p","Level2p","Level3p","Level4p","Level34p","SchoolYear","LocationName","NumStudents","NumSchools","SchoolsInBuilding","MajorN","OthN","NoCrimN","PropN","VioN","GroupNameOfPop","BuildingPop","AvgMajor","AvgOth","AvgNoCrim","AvgPop","AvgVio","BoroughName","Postcode","Latitude","Longitude","CommunityBoard","CouncilDistrict","Census Tract.x","BIN.x","BBL.x","NTA","GroupNameofPop.y","BuildingPopulation.y","BIN.y","BBL.y","totCrime"
"56","02M225","ELLA BAKER SCHOOL",2015,89,312,"13.5","38.2","37.1","11.2","48.3","2015","Ella Baker School",323,5,"Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION",0,3,2,0,2,"3C","251-500","0.95","3.35","6.9","2.5","1.45","MANHATTAN",10065,40.765359,-73.960059,8,5,118,1083343,1014420001,"Lenox Hill-Roosevelt Island","9C","1751-2000",1083343,1014420001,7
"57","02M234","P.S. 234 INDEPENDENCE SCHOOL",2015,336,338,"6","13.7","31","49.4","80.4","2015","P.S. 234 Independence School",729,1,"P.S. 234 Independence School",0,0,1,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","MANHATTAN",10007,40.71602,-74.011035,1,1,21,1001533,1001420001,"SoHo-TriBeCa-Civic Center-Little Italy",NA,NA,NA,NA,1
"58","02M255","M.S. 255 SALK SCHOOL OF SCIENCE",2015,297,342,"5.4","6.4","38.4","49.8","88.2","2015","M.S. 255 Salk School of Science",365,2,"P.S. 040 Augustus Saint-Gaudens |  M.S. 255 Salk School of Science |  319 EAST 19 STREET CONSOLIDATED LOCATION",0,4,0,4,0,"3C","251-500","0.46","1.65","2.77","1.17","0.75","MANHATTAN",10003,40.735161,-73.982027,6,2,64,1020513,1009250012,"Gramercy","5C","751-1000",1020513,1009250012,8
"59","02M260","M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS",2015,259,333,"4.2","23.9","41.3","30.5","71.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","02M267","EAST SIDE ELEMENTARY SCHOOL, PS 267",2015,74,325,"5.4","25.7","35.1","33.8","68.9","2015","East Side Elementary School, PS 267",320,1,"East Side Elementary School, PS 267",0,0,0,0,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","MANHATTAN",10065,40.763842,-73.964222,8,4,110,1087680,1014180007,"Lenox Hill-Roosevelt Island",NA,NA,NA,NA,0
"61","02M276","BATTERY PARK CITY SCHOOL",2015,495,328,"8.1","27.3","31.7","32.9","64.6","2015","BATTERY PARK CITY SCHOOL",857,2,"P.S. M094 |  BATTERY PARK CITY SCHOOL |  55 BATTERY PLACE CONSOLIDATED LOCATION",0,1,2,1,0,"5C","751-1000","0.48","2.19","3.69","1.29","1","MANHATTAN",10280,40.70644,-74.017818,1,1,31704,1087945,1000160040,"Battery Park City-Lower Manhattan","6C","1001-1250",1087945,1000160040,4
"62","02M289","I.S. 289",2015,278,328,"6.5","29.1","37.1","27.3","64.4","2015","I.S. 289",292,2,"P.S. 89 |  I.S. 289 |  201 WARREN STREET CONSOLIDATED LOCATION",0,1,1,1,0,"3C","251-500","0.31","1.12","1.82","0.79","0.51","MANHATTAN",10282,40.716668,-74.013542,1,1,31703,1085568,1000160220,"Battery Park City-Lower Manhattan","4C","501-750",1085568,1000160220,3
"63","02M290","P.S. 290 MANHATTAN NEW SCHOOL",2015,325,346,"2.8","13.2","24.6","59.4","84","2015","P.S. 290 Manhattan New School",646,1,"P.S. 290 Manhattan New School",0,0,0,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","MANHATTAN",10028,40.775078,-73.953096,8,5,138,1049876,1015450005,"Yorkville",NA,NA,NA,NA,0
"64","02M312","NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES",2015,417,354,"1.4","7.4","20.4","70.7","91.1","2015","New York City Lab Middle School for Collaborative",558,3,"New York City Lab Middle School for Collaborative |  N.Y.C. Lab School for Collaborative Studies |  N.Y.C. Museum School |  333 WEST  17 STREET CONSOLIDATED LOCATION",1,1,1,2,0,"4C","501-750","0.82","2.97","5.58","1.79","1.67","MANHATTAN",10011,40.742129,-74.002198,4,3,83,1079152,1007410010,"Hudson Yards-Chelsea-Flatiron-Union Square","8C","1501-1750",1079152,1007410010,5
"65","02M347","THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL",2015,29,288,"44.8","37.9","13.8","3.4","17.2","2015","The 47 American Sign Language & English Lower Scho",196,2,"47 The American Sign Language and English Secondar |  The 47 American Sign Language & English Lower Scho |  223 EAST 23 STREET CONSOLIDATED LOCATION",0,3,2,1,1,"2C","1-250","0.27","1.11","1.38","0.8","0.48","MANHATTAN",10010,40.738548,-73.982455,6,2,64,NA,NA,"Gramercy","3C","251-500",NA,NA,7
"66","02M397","SPRUCE STREET SCHOOL",2015,148,342,"2.7","18.2","27","52","79.1","2015","SPRUCE STREET SCHOOL",430,1,"SPRUCE STREET SCHOOL",0,0,0,0,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","MANHATTAN",10038,40.711313,-74.005472,1,1,1501,1087485,1001007502,"Battery Park City-Lower Manhattan",NA,NA,NA,NA,0
"67","02M407","INSTITUTE FOR COLLABORATIVE EDUCATION",2015,33,318,"12.1","39.4","33.3","15.2","48.5","2015","Institute for Collaborative Education",482,3,"P.S. M226 |  Institute for Collaborative Education |  High School for Health Professions and Human Servi |  345 EAST  15TH STREET CONSOLIDATED LOCATION",0,7,15,3,3,"3C","251-500","1.96","7.74","16.07","5.48","3.44","MANHATTAN",10003,40.732447,-73.983031,6,2,48,1020419,1009220008,"Gramercy","10C","2001-2500",1020419,1009220008,28
