"","DBN","School Name","Year","NumTested","MeanScaleScore","Level1p","Level2p","Level3p","Level4p","Level34p","LocationName","NumStudents","NumSchools","SchoolsInBuilding","MajorN","OthN","NoCrimN","PropN","VioN","GroupNameOfPop","BuildingPop","AvgMajor","AvgOth","AvgNoCrim","AvgPop","AvgVio","BoroughName","Postcode","Latitude","Longitude","CommunityBoard","CouncilDistrict","Census Tract.x","BIN.x","BBL.x","NTA","GroupNameofPop.y","BuildingPopulation.y","BIN.y","BBL.y","totCrime"
"554","16K335","P.S. 335 GRANVILLE T. WOODS",2014,147,280,"51.7","33.3","12.2","2.7","15","P.S. 335 Granville T. Woods",375,2,"P.S. 335 Granville T. Woods |  M.S. 584 |  130 ROCHESTER AVENUE CONSOLIDATED LOCATION",1,1,4,2,0,"3C","251-500","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11213,40.674656,-73.927794,8,36,307,3035887,3013550023,"Crown Heights North","4C","501-750",3035887,3013550023,8
"555","16K385","SCHOOL OF BUSINESS, FINANCE AND ENTREPRENEURSHIP",2014,102,274,"61.8","33.3","3.9","1","4.9","School of Business, Finance and Entrepreneurship",113,3,"J.H.S. 057 Whitelaw Reid |  School of Business, Finance and Entrepreneurship |  The Brooklyn Academy of Global Finance |  125 STUYVESANT AVENUE CONSOLIDATED LOCATION",2,3,4,2,1,"2C","1-250","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11221,40.691274,-73.933697,3,36,291,3043822,3016160001,"Stuyvesant Heights","3C","251-500",3043822,3016160001,12
"556","16K534","UPPER SCHOOL @ P.S. 25",2014,128,275,"66.4","29.7","3.1","0.8","3.9","Upper School @ P.S. 25",151,2,"P.S. 025 Eubie Blake School |  Upper School @ P.S. 25 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION",0,3,0,0,2,"2C","1-250","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11221,40.691037,-73.941342,3,36,281,3049858,3017870014,"Stuyvesant Heights","3C","251-500",3049858,3017870014,5
"557","16K584","M.S. 584",2014,105,271,"78.1","17.1","4.8","0","4.8","M.S. 584",128,2,"P.S. 335 Granville T. Woods |  M.S. 584 |  130 ROCHESTER AVENUE CONSOLIDATED LOCATION",1,1,4,2,0,"2C","1-250","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11213,40.674656,-73.927794,8,36,307,3035887,3013550023,"Crown Heights North","4C","501-750",3035887,3013550023,8
"558","16K627","BRIGHTER CHOICE COMMUNITY SCHOOL",2014,63,297,"28.6","34.9","36.5","0","36.5","Brighter Choice Community School",149,2,"Brighter Choice Community School |  Young Scholars' Academy for Discovery and Explorat |  280 HART STREET CONSOLIDATED LOCATION",1,0,0,1,0,"2C","1-250","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11206,40.694086,-73.940744,3,36,281,3049420,3017730014,"Stuyvesant Heights","3C","251-500",3049420,3017730014,2
"559","16K628","BROOKLYN BROWNSTONE SCHOOL",2014,68,305,"22.1","41.2","25","11.8","36.8","Brooklyn Brownstone School",222,2,"Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION",0,1,2,0,1,"2C","1-250","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11233,40.681896,-73.935963,3,36,273,3047054,3016740011,"Stuyvesant Heights","3C","251-500",3047054,3016740011,4
"560","16K636","YOUNG SCHOLARS' ACADEMY FOR DISCOVERY AND EXPLORATION",2014,68,293,"36.8","39.7","22.1","1.5","23.5","Young Scholars' Academy for Discovery and Explorat",188,2,"Brighter Choice Community School |  Young Scholars' Academy for Discovery and Explorat |  280 HART STREET CONSOLIDATED LOCATION",1,0,0,1,0,"2C","1-250","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11206,40.694086,-73.940744,3,36,281,3049420,3017730014,"Stuyvesant Heights","3C","251-500",3049420,3017730014,2
"561","16K681","MADIBA PREP MIDDLE SCHOOL",2014,151,277,"66.9","27.8","3.3","2","5.3","Madiba Prep Middle School",165,3,"P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION",1,0,6,1,0,"2C","1-250","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11221,40.692126,-73.931731,3,36,291,3393805,3016160001,"Stuyvesant Heights","4C","501-750",3393805,3016160001,8
"562","17K002","PARKSIDE PREPARATORY ACADEMY",2014,420,284,"49.3","35","13.1","2.6","15.7","Parkside Preparatory Academy",479,3,"Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION",1,5,2,2,4,"3C","251-500","0.52","1.71","2.49","1.16","0.75","BROOKLYN",11226,40.656183,-73.951583,9,40,802,3378201,3050500051,"Prospect Lefferts Gardens-Wingate","5C","751-1000",3378201,3050500051,14
"563","17K006","P.S. 006",2014,326,291,"46","28.2","16.6","9.2","25.8","P.S. 006",714,1,"P.S. 006",0,1,2,0,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11226,40.64859,-73.957138,14,40,794,3117230,3051030079,"Erasmus",NA,NA,NA,NA,3
"564","17K012","DR. JACQUELINE PEEK-DAVIS SCHOOL",2014,82,286,"45.1","34.1","17.1","3.7","20.7","Dr. Jacqueline Peek-Davis School",211,2,"Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION",2,3,3,5,0,"2C","1-250","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11233,40.673073,-73.919594,16,41,363,3039174,3014570032,"Ocean Hill","3C","251-500",3039174,3014570032,13
"565","17K061","M.S. 061 DR. GLADSTONE H. ATWELL",2014,721,290,"40.9","43.3","14.1","1.7","15.8","M.S. 061 Dr. Gladstone H. Atwell",777,1,"M.S. 061 Dr. Gladstone H. Atwell",2,6,8,3,4,"5C","751-1000","0.52","1.71","2.49","1.16","0.75","BROOKLYN",11225,40.664007,-73.94922,9,40,329,3337872,3013160015,"Prospect Lefferts Gardens-Wingate",NA,NA,NA,NA,23
"566","17K091","P.S. 091 THE ALBANY AVENUE SCHOOL",2014,237,276,"62.9","21.5","9.7","5.9","15.6","P.S. 091 The Albany Avenue School",483,1,"P.S. 091 The Albany Avenue School",1,2,2,1,2,"3C","251-500","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11203,40.661886,-73.93994,9,41,806,3106599,3047940026,"Prospect Lefferts Gardens-Wingate",NA,NA,NA,NA,8
"567","17K092","P.S. 092 ADRIAN HEGEMAN",2014,208,286,"53.4","32.2","12","2.4","14.4","P.S. 092 Adrian Hegeman",493,2,"P.S. 092 Adrian Hegeman |  Lefferts Gardens Charter School |  601 PARKSIDE AVENUE CONSOLIDATED LOCATION",2,0,2,1,1,"3C","251-500","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11226,40.656046,-73.953742,9,40,802,3115866,3050490055,"Prospect Lefferts Gardens-Wingate","3C","251-500",3115866,3050490055,6
"568","17K138","P.S. 138 BROOKLYN",2014,430,296,"35.6","40","18.4","6","24.4","P.S. 138 Brooklyn",708,2,"P.S. 138 Brooklyn|Success Academy Prospect Heights (Brooklyn 6)|760 PROSPECT PLACE CONSOLIDATED LOCATION",2,1,1,3,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11216,40.67438,-73.951443,8,36,31701,3330794,3012330026,"Crown Heights North","4C","501-750",3330794,3012330026,7
"569","17K161","P.S. 161 THE CROWN",2014,312,297,"37.2","37.5","15.1","10.3","25.3","P.S. 161 The Crown",537,1,"P.S. 161 The Crown",0,0,2,0,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11225,40.666181,-73.949013,9,35,319,3034181,3012970026,"Crown Heights South",NA,NA,NA,NA,2
"570","17K167","P.S. 167 THE PARKWAY",2014,163,283,"50.3","30.7","14.7","4.3","19","P.S. 167 The Parkway",168,3,"P.S. 167 The Parkway|  New Bridges Elementary|  Success Academy Crown Heights (Brooklyn 7)|  1025 EASTERN PARKWAY CONSOLIDATED LOCATION",0,1,1,1,0,"2C","1-250","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11213,40.669001,-73.934635,8,35,353,3037303,3013890035,"Crown Heights North","3C","251-500",3037303,3013890035,3
"571","17K181","P.S. 181 BROOKLYN",2014,633,284,"51","34","12","3","15","P.S. 181 Brooklyn",1044,1,"P.S. 181 Brooklyn",1,4,2,1,3,"6C","1001-1250","0.56","2.4","3.56","1.36","1.05","BROOKLYN",11203,40.648215,-73.946374,17,45,856,3327776,3049040010,"East Flatbush-Farragut",NA,NA,NA,NA,11
"572","17K189","P.S. 189 THE BILINGUAL CENTER",2014,805,309,"22.9","36.4","26.2","14.5","40.7","P.S. 189 The Bilingual Center",1188,1,"P.S. 189 The Bilingual Center",0,2,3,0,1,"6C","1001-1250","0.56","2.4","3.56","1.36","1.05","BROOKLYN",11212,40.665565,-73.926246,17,41,892,3099537,3045990001,"Brownsville",NA,NA,NA,NA,6
"573","17K191","P.S. 191 PAUL ROBESON",2014,107,294,"34.6","44.9","15.9","4.7","20.6","P.S. 191 Paul Robeson",223,1,"P.S. 191 Paul Robeson",1,1,1,2,0,"2C","1-250","0.43","1.03","1.23","0.99","0.41","BROOKLYN",11233,40.672005,-73.924329,8,41,359,3036635,3013750012,"Crown Heights North",NA,NA,NA,NA,5
"574","17K221","P.S. 221 TOUSSAINT L'OUVERTURE",2014,206,289,"43.2","35.9","16.5","4.4","20.9","P.S. 221 Toussaint L'Ouverture",450,2,"P.S. 221 Toussaint L'Ouverture|Citizens of the World Charter School New York 2 Cr|791 EMPIRE BOULEVARD CONSOLIDATED LOCATION",1,1,0,1,1,"3C","251-500","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11213,40.663701,-73.936049,9,35,355,3038372,3014230014,"Crown Heights South","3C","251-500",3038372,3014230014,4
"575","17K241","P.S. 241 EMMA L. JOHNSTON",2014,280,311,"20.4","34.6","28.2","16.8","45","P.S. 241 Emma L. Johnston",657,1,"P.S. 241 Emma L. Johnston",0,0,0,0,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11225,40.669339,-73.960675,9,35,213,3378160,3011880001,"Crown Heights South",NA,NA,NA,NA,0
"576","17K246","M.S. 246 WALT WHITMAN",2014,465,270,"72","24.3","2.8","0.9","3.7","M.S. 246 Walt Whitman",603,3,"M.S. 246 Walt Whitman|Fahari Academy Charter School|ALC - MS 246|72 VERONICA PLACE CONSOLIDATION LOCATION",2,5,4,2,4,"4C","501-750","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11226,40.648608,-73.952821,17,40,794,3117381,3051100025,"Erasmus","4C","501-750",3117381,3051100025,17
"577","17K249","P.S. 249 THE CATON",2014,324,323,"6.2","32.1","37","24.7","61.7","P.S. 249 The Caton",907,1,"P.S. 249 The Caton",0,1,0,1,0,"5C","751-1000","0.52","1.71","2.49","1.16","0.75","BROOKLYN",11226,40.64971,-73.966046,14,40,506,3116438,3050750001,"Flatbush",NA,NA,NA,NA,2
"578","17K289","P.S. 289 GEORGE V. BROWER",2014,229,299,"36.7","33.2","18.8","11.4","30.1","P.S. 289 George V. Brower",515,1,"P.S. 289 George V. Brower",0,0,2,0,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11213,40.674794,-73.942639,8,36,341,3031050,3012290028,"Crown Heights North",NA,NA,NA,NA,2
"579","17K316","P.S. 316 ELIJAH STROUD",2014,125,310,"24","32","27.2","16.8","44","P.S. 316 Elijah Stroud",308,2,"P.S. 316 Elijah Stroud |  Elijah Stroud Middle School |  750 CLASSON AVENUE CONSOLIDATED LOCATION",0,1,3,0,1,"3C","251-500","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11238,40.674406,-73.960254,8,35,215,3029246,3011670018,"Prospect Heights","4C","501-750",3029246,3011670018,5
"580","17K334","MIDDLE SCHOOL FOR ACADEMIC AND SOCIAL EXCELLENCE",2014,151,263,"78.1","20.5","1.3","0","1.3","Middle School for Academic and Social Excellence",168,3,"Middle School for Academic and Social Excellence|The School of Integrated Learning|KIPP AMP Charter School|1224 PARK PLACE CONSOLIDATED LOCATION",0,1,0,0,0,"2C","1-250","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11213,40.672713,-73.936924,8,36,343,3036405,3013700029,"Crown Heights North","3C","251-500",3036405,3013700029,1
"581","17K340","I.S. 340",2014,178,301,"24.7","57.3","14.6","3.4","18","I.S. 340",208,1,"I.S. 340",0,0,0,0,0,"2C","1-250","0.43","1.03","1.23","0.99","0.41","BROOKLYN",11238,40.676094,-73.97038,8,35,163,3029060,3011640057,"Prospect Heights",NA,NA,NA,NA,0
"582","17K352","EBBETS FIELD MIDDLE SCHOOL",2014,261,270,"73.9","22.6","3.4","0","3.4","Ebbets Field Middle School",298,2,"Ebbets Field Middle School |  P.S. 375 Jackie Robinson School |  46 MCKEEVER PLACE CONSOLIDATED LOCATION",6,2,10,4,4,"3C","251-500","0.52","1.71","2.49","1.16","0.75","BROOKLYN",11225,40.665035,-73.959031,9,35,325,3034356,3013010001,"Crown Heights South","5C","751-1000",3034356,3013010001,26
"583","17K353","ELIJAH STROUD MIDDLE SCHOOL",2014,254,278,"59.8","35.4","3.9","0.8","4.7","Elijah Stroud Middle School",263,2,"P.S. 316 Elijah Stroud |  Elijah Stroud Middle School |  750 CLASSON AVENUE CONSOLIDATED LOCATION",0,1,3,0,1,"3C","251-500","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11238,40.674406,-73.960254,8,35,215,3029246,3011670018,"Prospect Heights","4C","501-750",3029246,3011670018,5
"584","17K354","THE SCHOOL OF INTEGRATED LEARNING",2014,227,309,"26.4","30.8","30","12.8","42.7","The School of Integrated Learning",240,3,"Middle School for Academic and Social Excellence|The School of Integrated Learning|KIPP AMP Charter School|1224 PARK PLACE CONSOLIDATED LOCATION",0,1,0,0,0,"2C","1-250","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11213,40.672713,-73.936924,8,36,343,3036405,3013700029,"Crown Heights North","3C","251-500",3036405,3013700029,1
"585","17K375","P.S. 375 JACKIE ROBINSON SCHOOL",2014,208,288,"47.1","31.7","18.8","2.4","21.2","P.S. 375 Jackie Robinson School",514,2,"Ebbets Field Middle School |  P.S. 375 Jackie Robinson School |  46 MCKEEVER PLACE CONSOLIDATED LOCATION",6,2,10,4,4,"4C","501-750","0.52","1.71","2.49","1.16","0.75","BROOKLYN",11225,40.665035,-73.959031,9,35,325,3034356,3013010001,"Crown Heights South","5C","751-1000",3034356,3013010001,26
"586","17K382","ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL",2014,138,282,"60.1","32.6","6.5","0.7","7.2","Academy for College Preparation and Career Explora",532,6,"Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION",4,6,17,3,5,"4C","501-750","2.39","7.89","13.67","5.22","3.94","BROOKLYN",11226,40.649787,-73.95855,14,40,794,3336215,3051030010,"Erasmus","10C","2001-2500",3336215,3051030010,35
"587","17K394","M.S. K394",2014,363,281,"55.1","36.1","8","0.8","8.8","M.S. K394",631,2,"M.S. K394|Explore Empower Charter School|188 ROCHESTER AVENUE CONSOLIDATED LOCATION",0,1,2,1,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11213,40.672762,-73.927973,8,36,347,3036289,3013670022,"Crown Heights North","4C","501-750",3036289,3013670022,4
"588","17K397","P.S. 397 FOSTER-LAURIE",2014,178,288,"45.5","37.1","12.9","4.5","17.4","P.S. 397 Foster-Laurie",345,1,"P.S. 397 Foster-Laurie",0,1,0,1,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11203,40.658939,-73.94629,9,40,810,3107315,3048150020,"Prospect Lefferts Gardens-Wingate",NA,NA,NA,NA,2
"589","17K398","P.S. 398 WALTER WEAVER",2014,141,293,"40.4","36.2","17.7","5.7","23.4","P.S. 398 Walter Weaver",383,2,"P.S. 398 Walter Weaver |  P.S. 770 New American Academy |  60 EAST  94 STREET CONSOLIDATED LOCATION",0,1,1,1,0,"3C","251-500","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11212,40.663559,-73.926959,17,41,882,3323072,3045950015,"Rugby-Remsen Village","4C","501-750",3323072,3045950015,3
"590","17K399","P.S. 399 STANLEY EUGENE CLARK",2014,239,297,"33.1","37.2","19.7","10","29.7","P.S. 399 Stanley Eugene Clark",504,1,"P.S. 399 Stanley Eugene Clark",0,0,0,0,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11226,40.648044,-73.951891,17,40,824,3117396,3051110001,"Erasmus",NA,NA,NA,NA,0
"591","17K484","RONALD EDMONDS LEARNING CENTER II",2014,140,286,"49.3","41.4","7.9","1.4","9.3","Ronald Edmonds Learning Center II",146,2,"Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION",2,3,3,5,0,"2C","1-250","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11233,40.673073,-73.919594,16,41,363,3039174,3014570032,"Ocean Hill","3C","251-500",3039174,3014570032,13
"592","17K531","SCHOOL FOR HUMAN RIGHTS, THE",2014,128,287,"43.8","51.6","4.7","0","4.7","School for Human Rights, The",410,5,"School for Human Rights, The |  School for Democracy and  Leadership |  International Arts Business School |  High School for Public Service: Heroes  of Tomorro |  Brooklyn Institute for Liberal Arts |  600 KINGSTON AVENUE CONSOLIDATED LOCATION",3,2,16,2,3,"3C","251-500","0.86","3.26","5.55","2.17","1.29","BROOKLYN",11203,40.658893,-73.942458,9,40,810,3107227,3048110001,"Prospect Lefferts Gardens-Wingate","7C","1251-1500",3107227,3048110001,26
"593","17K533","SCHOOL FOR DEMOCRACY AND LEADERSHIP",2014,62,281,"58.1","32.3","9.7","0","9.7","School for Democracy and  Leadership",330,5,"School for Human Rights, The |  School for Democracy and  Leadership |  International Arts Business School |  High School for Public Service: Heroes  of Tomorro |  Brooklyn Institute for Liberal Arts |  600 KINGSTON AVENUE CONSOLIDATED LOCATION",3,2,16,2,3,"3C","251-500","0.86","3.26","5.55","2.17","1.29","BROOKLYN",11203,40.658893,-73.942458,9,40,810,3107227,3048110001,"Prospect Lefferts Gardens-Wingate","7C","1251-1500",3107227,3048110001,26
"594","17K543","SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",2014,131,312,"5.3","58","32.8","3.8","36.6","Science, Technology and Research Early College Hig",532,6,"Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION",4,6,17,3,5,"4C","501-750","2.39","7.89","13.67","5.22","3.94","BROOKLYN",11226,40.649787,-73.95855,14,40,794,3336215,3051030010,"Erasmus","10C","2001-2500",3336215,3051030010,35
"595","17K590","MEDGAR EVERS COLLEGE PREPARATORY SCHOOL",2014,101,327,"3","29.7","30.7","36.6","67.3","Medgar Evers College Preparatory School",1248,1,"Medgar Evers College Preparatory School",2,4,2,5,1,"6C","1001-1250","0.56","2.4","3.56","1.36","1.05","BROOKLYN",11225,40.667195,-73.951167,9,35,321,3348092,3012890025,"Crown Heights South",NA,NA,NA,NA,14
"596","17K705","BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL",2014,49,281,"53.1","26.5","12.2","8.2","20.4","Brooklyn Arts and Science Elementary School",268,3,"P.S. 022 |Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION",2,0,2,2,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11238,40.676774,-73.960058,8,35,305,3028281,3011480050,"Crown Heights North","3C","251-500",3028281,3011480050,6
"597","17K722","NEW HEIGHTS MIDDLE SCHOOL",2014,221,274,"68.8","30.3","0.9","0","0.9","New Heights Middle School",233,3,"Middle School for the Arts|New Heights Middle School|Achievement First Crown Heights Charter School|790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION",2,6,5,7,1,"2C","1-250","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11203,40.662447,-73.936382,9,41,876,3107129,3048060001,"Prospect Lefferts Gardens-Wingate","3C","251-500",3107129,3048060001,21
"598","17K770","P.S. 770 NEW AMERICAN ACADEMY",2014,55,284,"43.6","38.2","16.4","1.8","18.2","P.S. 770 New American Academy",253,2,"P.S. 398 Walter Weaver |  P.S. 770 New American Academy |  60 EAST  94 STREET CONSOLIDATED LOCATION",0,1,1,1,0,"3C","251-500","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11212,40.663559,-73.926959,17,41,882,3323072,3045950015,"Rugby-Remsen Village","4C","501-750",3323072,3045950015,3
"599","18K066","P.S. 66",2014,520,307,"23.7","39.6","26.5","10.2","36.7","P.S. 66",777,1,"P.S. 66",0,0,0,0,0,"5C","751-1000","0.52","1.71","2.49","1.16","0.75","BROOKLYN",11236,40.64883,-73.907774,18,42,970,3325418,3081290060,"Canarsie",NA,NA,NA,NA,0
"600","18K068","I.S. 068 ISAAC BILDERSEE",2014,625,273,"66.2","30.2","3.4","0.2","3.5","I.S. 068 Isaac Bildersee",734,1,"I.S. 068 Isaac Bildersee",2,10,7,3,7,"4C","501-750","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11236,40.635553,-73.91079,18,46,956,3224947,3080180001,"Canarsie",NA,NA,NA,NA,29
"601","18K114","P.S. 114 RYDER ELEMENTARY",2014,296,280,"54.1","28.7","14.5","2.7","17.2","P.S. 114 Ryder Elementary",626,2,"P.S. 114 Ryder Elementary | Explore Excel Charter School | 1077 REMSEN AVENUE CONSOLIDATED LOCATION",1,0,0,1,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11236,40.642792,-73.908806,18,46,964,3229159,3081600022,"Canarsie","4C","501-750",3229159,3081600022,2
"602","18K115","P.S. 115 DANIEL MUCATEL SCHOOL",2014,558,298,"35.7","33.2","20.4","10.8","31.2","P.S. 115 Daniel Mucatel School",1172,1,"P.S. 115 Daniel Mucatel School",0,1,1,1,0,"6C","1001-1250","0.56","2.4","3.56","1.36","1.05","BROOKLYN",11236,40.635015,-73.897262,18,46,1008,3232559,3082560001,"Canarsie",NA,NA,NA,NA,3
"603","18K135","P.S. 135 SHELDON A. BROOKNER",2014,314,294,"43","31.2","19.1","6.7","25.8","P.S. 135 Sheldon A. Brookner",680,1,"P.S. 135 Sheldon A. Brookner",0,0,0,0,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11203,40.65364,-73.933114,17,41,870,3102005,3046730001,"East Flatbush-Farragut",NA,NA,NA,NA,0
"604","18K208","P.S. 208 ELSA EBELING",2014,212,297,"34.9","35.4","20.3","9.4","29.7","P.S. 208 Elsa Ebeling",479,1,"P.S. 208 Elsa Ebeling",0,0,0,0,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11203,40.642031,-73.931151,17,45,840,3105680,3047690025,"East Flatbush-Farragut",NA,NA,NA,NA,0
"605","18K211","I.S. 211 JOHN WILSON",2014,658,288,"46.4","40.6","10.8","2.3","13.1","I.S. 211 John Wilson",703,2,"I.S. 211 John Wilson|Leadership Prep Canarsie Charter School (Leadershi|1001 EAST 100 STREET CONSOLIDATED LOCATION",0,3,3,2,1,"4C","501-750","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11236,40.643278,-73.896212,18,46,988,3326732,3082270001,"Canarsie","4C","501-750",3326732,3082270001,9
"606","18K219","P.S. 219 KENNEDY-KING",2014,273,281,"59.7","23.4","11","5.9","16.8","P.S. 219 Kennedy-King",559,1,"P.S. 219 Kennedy-King",0,0,0,0,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11212,40.659288,-73.922919,17,41,886,3101168,3046480001,"Rugby-Remsen Village",NA,NA,NA,NA,0
"607","18K233","P.S. 233 LANGSTON HUGHES",2014,261,292,"40.2","37.9","16.9","5","21.8","P.S. 233 Langston Hughes",544,1,"P.S. 233 Langston Hughes",1,0,0,0,1,"4C","501-750","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11236,40.651022,-73.91402,17,42,930,3104990,3047530001,"Rugby-Remsen Village",NA,NA,NA,NA,2
"608","18K235","P.S. 235 LENOX SCHOOL",2014,710,316,"17.2","27.5","34.4","21","55.4","P.S. 235 Lenox School",1234,1,"P.S. 235 Lenox School",0,0,0,0,0,"6C","1001-1250","0.56","2.4","3.56","1.36","1.05","BROOKLYN",11203,40.654704,-73.941089,17,41,814,3107846,3048440001,"East Flatbush-Farragut",NA,NA,NA,NA,0
"609","18K244","P.S. 244 RICHARD R. GREEN",2014,309,300,"30.7","36.6","23.3","9.4","32.7","P.S. 244 Richard R. Green",704,1,"P.S. 244 Richard R. Green",0,0,1,0,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11203,40.648423,-73.925948,17,45,946,3104513,3047390001,"Rugby-Remsen Village",NA,NA,NA,NA,1
"610","18K268","P.S. 268 EMMA LAZARUS",2014,211,287,"44.1","37.9","16.1","1.9","18","P.S. 268 Emma Lazarus",459,1,"P.S. 268 Emma Lazarus",0,0,1,0,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11203,40.657131,-73.928018,17,41,866,3100292,3046230028,"Rugby-Remsen Village",NA,NA,NA,NA,1
"611","18K272","P.S. 272 CURTIS ESTABROOK",2014,240,283,"56.3","33.3","8.8","1.7","10.4","P.S. 272 Curtis Estabrook",574,1,"P.S. 272 Curtis Estabrook",0,1,0,0,1,"4C","501-750","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11236,40.635916,-73.886412,18,46,1034,3235262,3083290250,"Canarsie",NA,NA,NA,NA,2
"612","18K276","P.S. 276 LOUIS MARSHALL",2014,338,286,"51.8","26","15.7","6.5","22.2","P.S. 276 Louis Marshall",761,1,"P.S. 276 Louis Marshall",0,0,0,0,0,"5C","751-1000","0.52","1.71","2.49","1.16","0.75","BROOKLYN",11236,40.634085,-73.907925,18,46,996,3225637,3080340001,"Canarsie",NA,NA,NA,NA,0
"613","18K279","P.S. 279 HERMAN SCHREIBER",2014,249,292,"39","35.7","20.9","4.4","25.3","P.S. 279 Herman Schreiber",532,1,"P.S. 279 Herman Schreiber",0,0,0,0,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","BROOKLYN",11236,40.644203,-73.892264,18,46,986,3326733,3082300001,"Canarsie",NA,NA,NA,NA,0
"614","18K285","I.S. 285 MEYER LEVIN",2014,787,289,"43.8","41.7","11.6","2.9","14.5","I.S. 285 Meyer Levin",914,1,"I.S. 285 Meyer Levin",0,5,4,1,1,"5C","751-1000","0.52","1.71","2.49","1.16","0.75","BROOKLYN",11203,40.646877,-73.920977,17,45,936,3104599,3047440001,"Rugby-Remsen Village",NA,NA,NA,NA,11
"615","18K366","THE SCIENCE AND MEDICINE MIDDLE SCHOOL",2014,349,300,"23.2","58.7","15.8","2.3","18.1","THE SCIENCE AND MEDICINE MIDDLE SCHOOL",389,1,"THE SCIENCE AND MEDICINE MIDDLE SCHOOL",0,1,0,1,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","BROOKLYN",11236,40.647323,-73.892022,18,46,984,3396940,3082150012,"Canarsie",NA,NA,NA,NA,2
