"","DBN","School Name","Year","NumTested","MeanScaleScore","Level1p","Level2p","Level3p","Level4p","Level34p","LocationName","NumStudents","NumSchools","SchoolsInBuilding","MajorN","OthN","NoCrimN","PropN","VioN","GroupNameOfPop","BuildingPop","AvgMajor","AvgOth","AvgNoCrim","AvgPop","AvgVio","BoroughName","Postcode","Latitude","Longitude","CommunityBoard","CouncilDistrict","Census Tract.x","BIN.x","BBL.x","NTA","GroupNameofPop.y","BuildingPopulation.y","BIN.y","BBL.y","totCrime"
"2037","27Q137","M.S. 137 AMERICA'S SCHOOL OF HEROES",2015,1701,305,"28.6","38.3","20.2","12.9","33.1","M.S. 137 America's School of Heroes",1905,1,"M.S. 137 America's School of Heroes",1,2,2,1,2,"9C","1751-2000","0.95","3.35","6.9","2.5","1.45","QUEENS",11417,40.6781,-73.839948,10,32,86,4467457,4091720001,"Ozone Park",NA,NA,NA,NA,8
"2038","27Q146","P.S. 146 HOWARD BEACH",2015,419,310,"20.5","33.7","32.2","13.6","45.8","P.S. 146 Howard Beach",693,1,"P.S. 146 Howard Beach",0,0,0,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11414,40.659873,-73.835068,10,32,884,4295163,4141680016,"Lindenwood-Howard Beach",NA,NA,NA,NA,0
"2039","27Q155","P.S. 155",2015,241,309,"22.8","36.5","26.1","14.5","40.7","P.S. 155",571,1,"P.S. 155",0,0,0,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11420,40.67956,-73.8106,10,28,176,4252357,4116730001,"South Ozone Park",NA,NA,NA,NA,0
"2040","27Q183","P.S. 183 DR. RICHARD R. GREEN",2015,340,271,"66.5","24.7","6.8","2.1","8.8","P.S. 183 Dr. Richard R. Green",602,1,"P.S. 183 Dr. Richard R. Green",0,3,3,0,3,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11693,40.589508,-73.805361,14,31,94202,4303354,4161120001,"Hammels-Arverne-Edgemere",NA,NA,NA,NA,9
"2041","27Q197","P.S. 197 THE OCEAN SCHOOL",2015,216,280,"56.5","28.7","13","1.9","14.8","P.S. 197 The Ocean School",548,1,"P.S. 197 The Ocean School",1,0,1,1,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11691,40.600199,-73.743968,14,31,101002,4298856,4155970001,"Far Rockaway-Bayswater",NA,NA,NA,NA,3
"2042","27Q202","J.H.S. 202 ROBERT H. GODDARD",2015,945,298,"34.2","39.9","17.6","8.4","25.9","J.H.S. 202 Robert H. Goddard",1057,2,"J.H.S. 202 Robert H. Goddard |  Robert H. Goddard High School of Communication Art |  138-30 LAFAYETTE STREET CONSOLIDATED LOCATION",0,9,8,3,4,"6C","1001-1250","0.82","2.97","5.58","1.79","1.67","QUEENS",11417,40.67124,-73.845141,10,32,58,4245993,4114030001,"Ozone Park","8C","1501-1750",4245993,4114030001,24
"2043","27Q207","P.S. 207 ROCKWOOD PARK",2015,452,319,"15","27.4","35.8","21.7","57.5","P.S. 207 Rockwood Park",738,1,"P.S. 207 Rockwood Park",1,0,2,1,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11414,40.658089,-73.844432,10,32,892,4293311,4140090060,"Lindenwood-Howard Beach",NA,NA,NA,NA,4
"2044","27Q210","J.H.S. 210 ELIZABETH BLACKWELL",2015,1687,300,"33","38.1","18.6","10.3","28.9","J.H.S. 210 Elizabeth Blackwell",1901,1,"J.H.S. 210 Elizabeth Blackwell",2,3,4,2,3,"9C","1751-2000","0.95","3.35","6.9","2.5","1.45","QUEENS",11416,40.683858,-73.84747,9,32,38,4188567,4090670001,"Woodhaven",NA,NA,NA,NA,14
"2045","27Q215","P.S. 215 LUCRETIA MOTT",2015,63,283,"65.1","22.2","12.7","0","12.7","P.S. 215 Lucretia Mott",64,2,"P.S. 215 Lucretia Mott |  Wave Preparatory Elementary School |  535 BRIAR PLACE CONSOLIDATED LOCATION",0,0,0,0,0,"2C","1-250","0.27","1.11","1.38","0.8","0.48","QUEENS",11691,40.5993,-73.758206,14,31,99801,4301194,4157720031,"Far Rockaway-Bayswater","3C","251-500",4301194,4157720031,0
"2046","27Q223","P.S. 223 LYNDON B. JOHNSON",2015,277,293,"44","27.4","13.7","14.8","28.5","P.S. 223 Lyndon B. Johnson",625,1,"P.S. 223 Lyndon B. Johnson",0,1,1,1,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11434,40.674519,-73.789399,12,28,18401,4261713,4120510001,"Baisley Park",NA,NA,NA,NA,3
"2047","27Q226","J.H.S. 226 VIRGIL I. GRISSOM",2015,1032,288,"47.6","34.4","13.2","4.8","18","J.H.S. 226 Virgil I. Grissom",1042,3,"J.H.S. 226 Virgil I. Grissom | Hawtree Creek Middle School | Epic High School - South | 121-10 ROCKAWAY BOULEVARD CONSOLIDATED LOCATION",3,4,4,6,1,"6C","1001-1250","0.89","3.22","5.07","2.18","1.64","QUEENS",11420,40.675771,-73.816938,10,28,840,4253607,4117140100,"South Ozone Park","7C","1251-1500",4253607,4117140100,18
"2048","27Q232","P.S. 232 LINDENWOOD",2015,654,314,"19","35.3","25.7","20","45.7","P.S. 232 Lindenwood",1085,1,"P.S. 232 Lindenwood",0,0,0,0,0,"6C","1001-1250","0.48","2.19","3.69","1.29","1","QUEENS",11414,40.665909,-73.851216,10,32,6202,4247454,4114450001,"Lindenwood-Howard Beach",NA,NA,NA,NA,0
"2049","27Q253","P.S. 253",2015,222,295,"37.8","31.1","19.8","11.3","31.1","P.S. 253",530,1,"P.S. 253",0,0,0,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11691,40.60729,-73.7494,14,31,103202,4297972,4155410001,"Far Rockaway-Bayswater",NA,NA,NA,NA,0
"2050","27Q254","P.S. 254 - THE ROSA PARKS SCHOOL",2015,268,327,"7.5","25","33.6","34","67.5","P.S. 254 - The Rosa Parks School",661,1,"P.S. 254 - The Rosa Parks School",0,1,0,1,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","QUEENS",11418,40.697961,-73.84796,9,32,24,4191296,4091770023,"Richmond Hill",NA,NA,NA,NA,2
"2051","27Q262","CHANNEL VIEW SCHOOL FOR RESEARCH",2015,193,301,"24.4","51.3","20.7","3.6","24.4","Channel View School for Research",683,3,"Channel View School for Research| Rockaway Park High School for Environmental Sustai| Rockaway Collegiate High School| 100-00 BEACH CHANNEL DRIVE CONSOLIDATED LOCATION",2,11,18,6,6,"4C","501-750","0.89","3.22","5.07","2.18","1.64","QUEENS",11694,40.586066,-73.822624,14,32,94201,4303773,4161670099,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","7C","1251-1500",4303773,4161670099,43
"2052","27Q273","P.S. 273",2015,105,303,"21.9","39","28.6","10.5","39","P.S. 273",306,1,"P.S. 273",0,0,0,0,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","QUEENS",11418,40.693606,-73.844631,9,32,28,4539360,4092880101,"Richmond Hill",NA,NA,NA,NA,0
"2053","27Q282","KNOWLEDGE AND POWER PREPARATORY ACADEMY VI",2015,175,299,"33.1","44.6","17.1","5.1","22.3","Knowledge and Power Preparatory Academy VI",263,4,"Frederick Douglass Academy VI High School |  Knowledge and Power Preparatory Academy VI |  Queens High School for Information, Research, and |  Academy of Medical Technology: A College Board Sch |  8-21 BAY 25 STREET CONSOLIDATED LOCATION",2,7,17,3,6,"3C","251-500","0.82","2.97","5.58","1.79","1.67","QUEENS",11691,40.60201,-73.762795,14,31,100802,4300730,4157360001,"Far Rockaway-Bayswater","8C","1501-1750",4300730,4157360001,35
"2054","27Q297","HAWTREE CREEK MIDDLE SCHOOL",2015,244,297,"36.9","42.2","16","4.9","20.9","Hawtree Creek Middle School",255,3,"J.H.S. 226 Virgil I. Grissom | Hawtree Creek Middle School | Epic High School - South | 121-10 ROCKAWAY BOULEVARD CONSOLIDATED LOCATION",3,4,4,6,1,"3C","251- 500","0.89","3.22","5.07","2.18","1.64","QUEENS",11420,40.675771,-73.816938,10,28,840,4253607,4117140100,"South Ozone Park","7C","1251-1500",4253607,4117140100,18
"2055","27Q306","NEW YORK CITY ACADEMY FOR DISCOVERY",2015,222,303,"28.8","33.3","26.1","11.7","37.8","New York City Academy for Discovery",480,1,"New York City Academy for Discovery",0,0,1,0,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","QUEENS",11421,40.691765,-73.849006,9,32,20,4538070,4089750100,"Woodhaven",NA,NA,NA,NA,1
"2056","27Q309","ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL",2015,188,280,"59.6","33.5","6.4","0.5","6.9","Academy of Medical Technology: A College Board Sch",637,4,"Frederick Douglass Academy VI High School |  Knowledge and Power Preparatory Academy VI |  Queens High School for Information, Research, and |  Academy of Medical Technology: A College Board Sch |  8-21 BAY 25 STREET CONSOLIDATED LOCATION",2,7,17,3,6,"4C","501-750","0.82","2.97","5.58","1.79","1.67","QUEENS",11691,40.60201,-73.762795,14,31,100802,4300730,4157360001,"Far Rockaway-Bayswater","8C","1501-1750",4300730,4157360001,35
"2057","27Q317","WATERSIDE CHILDREN'S STUDIO SCHOOL",2015,200,295,"34.5","39","20","6.5","26.5","WATERSIDE CHILDREN'S STUDIO SCHOOL",459,2,"WATERSIDE CHILDREN'S STUDIO SCHOOL |  WATERSIDE SCHOOL FOR LEADERSHIP |  190 BEACH 110 STREET CONSOLIDATED LOCATION",1,0,5,0,1,"3C","251-500","0.31","1.12","1.82","0.79","0.51","QUEENS",11694,40.580928,-73.831836,14,32,938,4303853,4161810001,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","4C","501-750",4303853,4161810001,7
